DataYear,Testname,TestDate,DistrictNumber,DistrictType,SchoolNumber,DistrictName,SchoolName,Grade,Subject,ReportOrder,ReportCategory,ReportDescription,Filtered,CountTested,CountLevel1,CountLevel2,CountLevel3,CountLevel4,CountLevel5,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentLevel5,AverageScore,AverageScorePrompt1,AverageScorePrompt2,AverageScorePrompt3,AverageScorePrompt4,SchoolClassification,GradeEnrollment,K12Enrollment,FilterThreshold,PublicSchool,index,City,District,School
02-03,MCA,04/01/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",3,R,10,"Limited English Proficient","Eligible for LEP Services",Y,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,42,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/01/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",3,R,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",N,32,20,7,3,2,0,62.5,21.88,9.38,6.25,0,1255.94,NULL,NULL,NULL,NULL,10,42,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/01/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",3,R,12,"Student Stability","Enrolled in Same School On October 1",N,38,21,8,4,4,1,55.26,21.05,10.53,10.53,2.63,1285.26,NULL,NULL,NULL,NULL,10,42,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/08/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,M,1,"All Categories","All Students",N,20,9,6,4,1,0,45,30,20,5,0,1291.5,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/08/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,M,4,Race/Ethnicity,3-Hispanic,Y,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/08/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,M,5,Race/Ethnicity,4-Black,N,16,8,4,3,1,0,50,25,18.75,6.25,0,1280.63,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/08/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,M,6,Race/Ethnicity,5-White,Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/08/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,M,7,Gender,Male,N,10,4,3,3,0,0,40,30,30,0,0,1304,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/08/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,M,8,Gender,Female,N,10,5,3,1,1,0,50,30,10,10,0,1279,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/08/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,M,9,"Special Education","Receiving Special Education Services",Y,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/08/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,M,10,"Limited English Proficient","Eligible for LEP Services",Y,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/08/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,M,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",N,19,9,6,3,1,0,47.37,31.58,15.79,5.26,0,1282.63,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/08/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,M,12,"Student Stability","Enrolled in Same School On October 1",N,18,7,6,4,1,0,38.89,33.33,22.22,5.56,0,1303.89,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/01/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,R,1,"All Categories","All Students",N,20,11,6,1,2,0,55,30,5,10,0,1229,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/01/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,R,4,Race/Ethnicity,3-Hispanic,Y,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/01/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,R,5,Race/Ethnicity,4-Black,N,16,7,6,1,2,0,43.75,37.5,6.25,12.5,0,1265,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/01/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,R,6,Race/Ethnicity,5-White,Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/01/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,R,7,Gender,Male,N,10,7,3,0,0,0,70,30,0,0,0,1141,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/01/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,R,8,Gender,Female,N,10,4,3,1,2,0,40,30,10,20,0,1317,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/01/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,R,9,"Special Education","Receiving Special Education Services",Y,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/01/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,R,10,"Limited English Proficient","Eligible for LEP Services",Y,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/01/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,R,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",N,19,10,6,1,2,0,52.63,31.58,5.26,10.53,0,1231.05,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/01/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,R,12,"Student Stability","Enrolled in Same School On October 1",N,18,9,6,1,2,0,50,33.33,5.56,11.11,0,1247.78,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/03/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,W,1,"All Categories","All Students",N,20,10,6,0,4,0,50,30,0,20,0,NULL,882.5,1116,1154,1088.33,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/03/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,W,4,Race/Ethnicity,3-Hispanic,Y,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/03/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,W,5,Race/Ethnicity,4-Black,N,16,6,6,0,4,0,37.5,37.5,0,25,0,NULL,882.5,1116,1705,1266,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/03/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,W,6,Race/Ethnicity,5-White,Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/03/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,W,7,Gender,Male,N,10,7,2,0,1,0,70,20,0,10,0,NULL,720,950,1080,1047.5,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/03/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,W,8,Gender,Female,N,10,3,4,0,3,0,30,40,0,30,0,NULL,1045,1226.67,1203.33,1170,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/03/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,W,9,"Special Education","Receiving Special Education Services",Y,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/03/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,W,10,"Limited English Proficient","Eligible for LEP Services",Y,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/03/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,W,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",N,19,9,6,0,4,0,47.37,31.58,0,21.05,0,NULL,882.5,1116,1180,1088.33,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/03/2003,4038,7,10,"SOJOURNER TRUTH ACADEMY            ","SOJOURNER TRUTH ACADEMY            ",5,W,12,"Student Stability","Enrolled in Same School On October 1",N,18,9,5,0,4,0,50,27.78,0,22.22,0,NULL,882.5,1110,1154,1100,10,22,232,9,Y,216,Minneapolis,"SOJOURNER TRUTH ACADEMY","SOJOURNER TRUTH ACADEMY"
02-03,MCA,04/08/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,M,1,"All Categories","All Students",N,16,5,2,2,6,1,31.25,12.5,12.5,37.5,6.25,1422.5,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/08/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,M,4,Race/Ethnicity,3-Hispanic,N,15,4,2,2,6,1,26.67,13.33,13.33,40,6.67,1446,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/08/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,M,6,Race/Ethnicity,5-White,Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/08/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,M,7,Gender,Male,Y,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/08/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,M,8,Gender,Female,Y,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/08/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,M,10,"Limited English Proficient","Eligible for LEP Services",N,16,5,2,2,6,1,31.25,12.5,12.5,37.5,6.25,1422.5,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/08/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,M,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",N,15,5,2,2,5,1,33.33,13.33,13.33,33.33,6.67,1406.67,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/08/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,M,12,"Student Stability","Enrolled in Same School On October 1",N,15,4,2,2,6,1,26.67,13.33,13.33,40,6.67,1437.33,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/01/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,R,1,"All Categories","All Students",N,16,8,4,1,2,1,50,25,6.25,12.5,6.25,1318.75,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/01/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,R,4,Race/Ethnicity,3-Hispanic,N,15,7,4,1,2,1,46.67,26.67,6.67,13.33,6.67,1333.33,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/01/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,R,6,Race/Ethnicity,5-White,Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/01/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,R,7,Gender,Male,Y,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/01/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,R,8,Gender,Female,Y,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/01/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,R,10,"Limited English Proficient","Eligible for LEP Services",N,16,8,4,1,2,1,50,25,6.25,12.5,6.25,1318.75,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/01/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,R,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",N,15,8,3,1,2,1,53.33,20,6.67,13.33,6.67,1314.67,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/01/2003,4067,7,10,"AURORA CHARTER SCHOOL              ","AURORA CHARTER SCHOOL              ",3,R,12,"Student Stability","Enrolled in Same School On October 1",N,15,7,4,1,2,1,46.67,26.67,6.67,13.33,6.67,1326,NULL,NULL,NULL,NULL,10,17,112,9,Y,194,Minneapolis,"AURORA CHARTER SCHOOL","AURORA CHARTER SCHOOL"
02-03,MCA,04/08/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,M,1,"All Categories","All Students",N,20,9,3,4,4,0,45,15,20,20,0,1281.5,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/08/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,M,2,Race/Ethnicity,"1-American Indian",Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/08/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,M,5,Race/Ethnicity,4-Black,N,19,8,3,4,4,0,42.11,15.79,21.05,21.05,0,1291.58,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/08/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,M,7,Gender,Male,Y,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/08/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,M,8,Gender,Female,N,12,6,1,3,2,0,50,8.33,25,16.67,0,1255,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/08/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,M,9,"Special Education","Receiving Special Education Services",Y,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/08/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,M,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",N,20,9,3,4,4,0,45,15,20,20,0,1281.5,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/08/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,M,12,"Student Stability","Enrolled in Same School On October 1",N,18,8,3,4,3,0,44.44,16.67,22.22,16.67,0,1274.44,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/01/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,R,1,"All Categories","All Students",N,20,9,5,1,5,0,45,25,5,25,0,1302.5,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/01/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,R,2,Race/Ethnicity,"1-American Indian",Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/01/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,R,5,Race/Ethnicity,4-Black,N,19,8,5,1,5,0,42.11,26.32,5.26,26.32,0,1317.89,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/01/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,R,7,Gender,Male,Y,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/01/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,R,8,Gender,Female,N,12,5,4,1,2,0,41.67,33.33,8.33,16.67,0,1300,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/01/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,R,9,"Special Education","Receiving Special Education Services",Y,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/01/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,R,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",N,20,9,5,1,5,0,45,25,5,25,0,1302.5,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/01/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",3,R,12,"Student Stability","Enrolled in Same School On October 1",N,18,8,5,1,4,0,44.44,27.78,5.56,22.22,0,1300.56,NULL,NULL,NULL,NULL,10,18,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/08/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",5,M,1,"All Categories","All Students",Y,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,8,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/08/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",5,M,5,Race/Ethnicity,4-Black,Y,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,8,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/08/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",5,M,7,Gender,Male,Y,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,8,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
02-03,MCA,04/08/2003,4068,7,10,"EXCELL ACADEMY CHARTER             ","EXCELL ACADEMY CHARTER             ",5,M,8,Gender,Female,Y,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,8,99,9,Y,80,Minneapolis,"EXCELL ACADEMY CHARTER","EXCELL ACADEMY CHARTER"
